Stop_street,stop_lat,stop_name,stop_region,zone_id,stop_country,stop_lon,stop_city,stop_id,stop_desc,stop_postcode,location_type
,44.649109,st Margarets Bay Rd opposite civic address 1996,,,,-63.719002,,6143,,,0
,44.721622,basinview Dr opposite Roy Cr,,,,-63.678513,,6142,,,0
,44.724796,basinview Dr opposite Granville Rd,,,,-63.682724,,6141,,,0
,44.718277,basinview Dr opposite civic address 64,,,,-63.681187,,6140,,,0
,44.637188,st Margarets Bay Rd after civic address 1505,,,,-63.700275,,6147,,,0
,44.634914,st Margarets Bay Rd after civic address 1025,,,,-63.675137,,6146,,,0
,44.645554,st Margarets Bay Rd in front of civic address 1813,,,,-63.712364,,6145,,,0
,44.636368,st Margarets Bay Rd in front of civic address 1140,,,,-63.680588,,6144,,,0
,44.648216,st Margarets Bay Rd after civic address 1939,,,,-63.717499,,6149,,,0
,44.643787,st Margarets Bay Rd after civic address 1737,,,,-63.707901,,6148,,,0
,44.689636,highfield Park Dr opposite civic address 21,,,,-63.586021,,6927,,,0
,44.657375,gottingen St before North St,,,,-63.591476,,6781,,,0
,44.654625,gottingen St [southbound] before Gerrish St,,,,-63.587482,,6780,,,0
,44.661526,gottingen St [southbound] before Russell St,,,,-63.597534,,6783,,,0
,44.661446,gottingen St [northbound] before Russell St,,,,-63.596992,,6782,,,0
,44.658566,gottingen St [northbound] opposite Black St,,,,-63.5928,,6785,,,0
,44.716057,hammonds Plains Rd in front of civic address 69,,,,-63.681206,,6784,,,0
,44.655708,gottingen St [northbound] opposite Sunrise Manor,,,,-63.588676,,6787,,,0
,44.653542,gottingen St [southbound] opposite Prince William St,,,,-63.585884,,6786,,,0
,44.724979,innovation Dr [to Lacewood],,,,-63.696285,,6788,,,0
,44.688202,highfield Park Dr in front of civic address 60,,,,-63.588947,,6920,,,0
,44.683941,highfield Park Dr before Terminal,,,,-63.589638,,6923,,,0
,44.688599,highfield Park Dr in front of civic address 35,,,,-63.58778,,6922,,,0
,44.691921,caledonia Rd before Paul David Ct,,,,-63.532936,,6369,,,0
,44.685406,caledonia Rd before Main St,,,,-63.529888,,6368,,,0
,44.69043,caledonia Rd before Strath Lane,,,,-63.532291,,6363,,,0
,44.695763,caledonia Rd before Gourok Ave,,,,-63.535355,,6362,,,0
